DATE,LORSGPORESQ661S,gdp_spain_filtered
2010-07-01,100.124908360323,0.365976
2010-10-01,100.192095323824,0.656247
2011-01-01,100.035820673911,0.775825
2011-04-01,99.7188169897642,0.767376
2011-07-01,99.0725600645886,0.490332
2011-10-01,98.4300151263468,0.200717
2012-01-01,97.507586373296,-0.33396
2012-04-01,96.57030967251,-0.910146
2012-07-01,96.0781002050873,-1.165977
2012-10-01,95.345353984354,-1.654424
2013-01-01,95.0405998570885,-1.844817
2013-04-01,94.9574513497712,-1.90571
2013-07-01,94.905483532698,-1.992446
2013-10-01,95.0636141760781,-1.963402
2014-01-01,95.4129121465492,-1.834734
2014-04-01,95.8550097903655,-1.68497
2014-07-01,96.5643704934159,-1.374301
2014-10-01,97.3932571757347,-1.0189
2015-01-01,98.5109364415037,-0.483014
2015-04-01,99.5677391215583,-0.03948
2015-07-01,100.4738351321,0.247059
2015-10-01,101.447489304838,0.552455
2016-01-01,102.134949284978,0.608192
2016-04-01,102.56331257714,0.443559
2016-07-01,103.473120574616,0.629438
2016-10-01,103.953822882543,0.474842
2017-01-01,104.738165721657,0.539187
2017-04-01,105.81464193246,0.812259
2017-07-01,106.378492747706,0.69666
2017-10-01,107.112352564519,0.703856
2018-01-01,107.639083510426,0.557485
2018-04-01,108.225948644661,0.455451
2018-07-01,108.769012333077,0.322659
2018-10-01,109.377778190221,0.238454
2019-01-01,109.97615048395,0.14797
2019-04-01,110.41861932646,-0.051383
